model,RMSE,MAE,R2,n_eval
global,0.5677783819813732,0.3870815916832658,0.9999492824403057,50000
dual,2.2800838615466934,1.3717581459912314,0.9991820960894299,50000
"improvement (global - dual for errors, dual - global for R2)",-1.71230547956532,-0.9846765543079656,-0.0007671863508758037,50000
